zinc_id,smiles
ZINC000000000055,CN1[C@H]2CC[C@@H]1CC(OC(=O)[C@@](C)(CO)c1ccccc1)C2
ZINC000000000056,CN1[C@H]2CC[C@@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2
ZINC000000000058,C[N+]1([O-])[C@H]2CC[C@@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2
ZINC000000000061,NC[C@H](CC(=O)O)c1ccc(Cl)cc1
ZINC000000000063,CC(=O)c1cc2cccc(OC[C@H](O)CNC(C)C)c2o1
ZINC000000000064,Cc1cccc2c1Oc1ccccc1[C@@]1(O)CCN(C)C[C@H]21
ZINC000000000066,O=C(O)c1ccc(N[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)cc1
ZINC000000000068,C[C@H](NNC(=O)c1ccccc1)c1ccccc1
ZINC000000000070,C[C@H](C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1
ZINC000000000071,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1
ZINC000000000072,CC(=O)O[C@H](c1ccc(Cl)c(Cl)c1)C(Cl)(Cl)Cl
ZINC000000000073,OC[C@@H](O)COc1nn(Cc2ccccc2)c2ccccc12
ZINC000000000075,O=C(O[C@@H]1CN2CCC1CC2)c1ccccc1
ZINC000000000076,O=C(c1ccccc1)[C@@H](O)c1ccccc1
ZINC000000000077,C[N+]1(C)CC[C@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1
ZINC000000000078,O=C(OCc1ccccc1)[C@@H](O)c1ccccc1
ZINC000000000079,COc1c(O)cc2c(c1O)[C@H]1O[C@@H](CO)[C@H](O)[C@H](O)[C@H]1OC2=O
ZINC000000000080,Cc1ccc2c(c1)CC(=O)c1cc([C@H](C)C(=O)O)ccc1O2
ZINC000000000081,CCO[C@H]1O[C@@H]2O[C@]3(C)CC[C@H]4[C@@H](C)CC[C@H]([C@@H]1C)[C@@]42OO3
ZINC000000000083,C[C@@H](C[N+](C)(C)C)OC(N)=O
ZINC000000000085,C[N+](C)(C)CCO[C@H](Cc1ccccc1)c1ccccc1
ZINC000000000086,O=C(OCCN1CCCC1)[C@@]1(c2ccccc2)C[C@@H]2CC[C@H]1C2
ZINC000000000088,C=CCC1=C(C)[C@@H](OC(=O)[C@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O
ZINC000000000091,C[C@H](C(=O)O)c1nc(-c2ccc(Br)cc2)cs1
ZINC000000000092,COc1cc(C[C@@H](C)N)c(OC)cc1Br
ZINC000000000093,COc1ccc(C(=O)/C(Br)=C/C(=O)O)cc1
ZINC000000000095,CN(C)CCO[C@H](c1ccccc1)c1ccc(Br)cc1
ZINC000000000096,CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1
ZINC000000000098,CC(C)(C)NC[C@H](O)c1cc(Br)no1
ZINC000000000099,CCOc1ccc(NC(=O)C[C@@H](C)O)cc1
ZINC000000000100,Cc1ccc(OC[C@H](O)CNC(C)(C)C)c2oc(=O)ccc12
ZINC000000000101,CC(C)(C)NC[C@@H](O)COc1ccccc1OC[C@@H]1CCCO1
ZINC000000000102,CCc1cccc2cc([C@H](O)CNC(C)(C)C)oc12
ZINC000000000103,COc1ccc2c(c1O)-c1c3c(cc4c1[C@H](C2)N(C)CC4)OCO3
ZINC000000000104,CC(C)(C)NC[C@@H](O)COc1ccccc1C#N
ZINC000000000106,Cc1ccc(Cl)c(OC[C@@H](O)CNC(C)(C)C)c1
ZINC000000000109,CC(C)C(=O)Nc1cccc([C@@H]2CN3CCSC3=N2)c1
ZINC000000000111,CC[C@H](C(=O)O)c1ccc(-c2ccccc2)cc1
ZINC000000000112,CCCC(=O)c1cc(F)ccc1OC[C@H](O)CNC(C)(C)C
ZINC000000000113,CCOC(=O)NNc1ccc(N(CC)C[C@@H](C)O)nn1
ZINC000000000115,O=C(O)[C@H]1CCc2cc(OCCn3ccnc3)ccc21
ZINC000000000116,CC1(C)[C@H]2CC[C@]1(C)C(=O)[C@H]2Br
ZINC000000000118,NC(=O)N1c2ccccc2C2O[C@@H]2c2ccccc21
ZINC000000000122,CN(C)CCO[C@@H](c1ccc(Cl)cc1)c1ccccn1
ZINC000000000123,CN1C(=O)CN(C(N)=O)[C@H](c2ccccc2)c2cc(Cl)ccc21
ZINC000000000124,CC(C)(C)NC[C@@H](O)c1ccc(O)c(NC(N)=O)c1
ZINC000000000125,C#C[C@H](OC(N)=O)c1ccccc1
ZINC000000000127,CC(C)OC(=O)c1cc2c(OC[C@H](O)CNC(C)(C)C)cccc2[nH]1
ZINC000000000128,CC(C)(C)NC[C@@H](O)COc1cccc2c1CCC(=O)N2
ZINC000000000129,CCCC(=O)O[C@@H]1CN2CC[C@@H](O)[C@@H]2[C@H](O)[C@H]1O
ZINC000000000130,CN(C)[C@@](C)(CO)Cc1ccc(Cl)c(Cl)c1
ZINC000000000131,CNC(=O)COc1ccccc1OC[C@H](O)CNC(C)(C)C
ZINC000000000132,O=C(OCCN1CCCCCC1)[C@@H](c1ccsc1)C1CCCCC1
ZINC000000000133,CN1C(=O)CCS(=O)(=O)[C@H]1c1ccc(Cl)cc1
ZINC000000000134,NC(=O)NC(=O)[C@@H](Cl)c1ccccc1
ZINC000000000135,OC[C@@H](O)COc1ccc(Cl)cc1
ZINC000000000136,NC(=O)OC[C@@H](O)COc1ccc(Cl)cc1
ZINC000000000137,CN(C)CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1
ZINC000000000138,O=C1N[C@H](CCCl)Oc2ccccc21
ZINC000000000139,CN1C[C@@H](C[C@H](C#N)C(N)=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
ZINC000000000140,C[C@H]1C[C@@H](OC(=O)[C@@H](C)O)CC(C)(C)C1
ZINC000000000142,O[C@]1(c2cccc(Cl)c2)C2=NCCCN2c2ccccc21
ZINC000000000144,C[C@H](C(=O)O)c1ccc2c(c1)Cc1ccccc1-2
ZINC000000000145,c1ccc(C2(c3ccccc3)C[C@@H]2C2=NCCN2)cc1
ZINC000000000148,C[C@H](CCN(C)C)Nc1cc(O)cc2cccnc12
ZINC000000000149,COC[C@@H]1CN(c2ccc(OCc3cccc(C#N)c3)cc2)C(=O)O1
ZINC000000000150,COC(=O)/C=C/c1ccccc1OC[C@H](O)CNC(C)C
ZINC000000000151,C[C@@H]([C@@H](O)c1ccccc1)N(C)C/C=C/c1ccccc1
ZINC000000000152,O=C1C(C[C@@H]2CCCO2)C(=O)N2c3ccccc3-c3ccccc3N12
ZINC000000000153,COc1cc(/C=C/C(=O)N2CCCCCCC2)cc(OC)c1OC
ZINC000000000154,COc1ccc2c(c1)c(-c1ccccc1)nc(=O)n2CC1CC1
ZINC000000000155,CN(C)[C@@H](c1cccc(O)c1)[C@@H]1CCCC[C@@H]1O
ZINC000000000156,CN1CCC2=C(CC1)c1cc(C#N)ccc1Sc1ccccc12
ZINC000000000158,C=CCc1cccc(OC)c1OCCN(CC)CC
ZINC000000000161,CN(C)C[C@@H](O)[C@H](c1ccccc1)c1cccc(Cl)c1
ZINC000000000162,C[C@@H](CC(=O)Nc1ccc(Cl)cc1Cl)N1CCCCC1
ZINC000000000163,O=C(O)[C@H]1CCc2cc(C3CCCCC3)c(Cl)cc21
ZINC000000000164,CC(C)(C)C(=O)[C@H](Oc1ccc(Cl)cc1)n1ccnc1
ZINC000000000165,C[C@H](C(=O)O)c1ccc(C(=O)c2cccs2)c(Cl)c1
ZINC000000000166,C[C@H](CN(C)C)[C@](C)(O)Cc1ccc(Cl)cc1
ZINC000000000167,C[C@H]1[C@H]2CC[C@H](C2)[C@H]1CN(CCO)C(=O)c1ccc(Cl)cc1
ZINC000000000169,CN(C)CCC[C@H]1c2ccccc2Nc2ccc(Cl)cc21
ZINC000000000171,Cc1c(Cl)cccc1Nc1ncccc1C(=O)OC[C@H](O)CO
ZINC000000000172,Clc1ccc(C[C@H]2CC[C@@H]3CCCCN3C2)cc1
ZINC000000000173,CC(=O)Nc1ccc(O[C@H](O)C(Cl)(Cl)Cl)cc1
ZINC000000000174,CC(C)(C)NC[C@H](O)COc1cc(Cl)ccc1Cl
ZINC000000000176,O[C@H](c1ccc(Cl)cc1)c1cc2ccccc2o1
ZINC000000000178,CC(C)NC[C@@H](O)c1ccccc1Cl
ZINC000000000179,CN(C)CC[C@@H]1c2ccc(Cl)cc2CCc2cccnc21
ZINC000000000181,COC1=C[C@H]2[C@@H]3Cc4ccc(OC)c(O)c4[C@]2(CCN3C)CC1=O
ZINC000000000182,COc1ccc2c3c1O[C@@H]1[C@H](O)C=C[C@@H]4[C@@H](C2)[N+](C)([O-])CC[C@]314
ZINC000000000183,O[C@H]1CNC=Nc2c1ncn2Cc1cccc2ccccc12
ZINC000000000184,CC(C)(C)NC[C@H](O)c1ccc(O)c(O)c1
ZINC000000000185,C[C@@]12CCC(=O)C=C1CC[C@@H]1[C@@H]3CC[C@@H](C(=O)CO)[C@@]3(C)C[C@@H](O)[C@H]12
ZINC000000000186,COc1c2c(cc3c1[C@@H](O)N(C)CC3)OCO2
ZINC000000000187,COc1cc(O)c(C(=O)c2ccccc2)c(O)c1
ZINC000000000188,C[C@H](CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21
ZINC000000000189,C[C@@H]1C[C@@H](OC(=O)[C@H](O)c2ccccc2)CC(C)(C)C1
ZINC000000000190,O=C1N=C(NC2CC2)O[C@H]1c1ccccc1
ZINC000000000192,CN(C)[C@H]1CCc2[nH]c3ccccc3c2C1
ZINC000000000193,C[C@](O)(CC(=O)O)C1CCCCC1
ZINC000000000194,CC[C@H](C(=O)O)C1(O)CCCCC1
ZINC000000000196,CN(C)CCOC(=O)[C@H](c1ccccc1)C1(O)CCCC1
ZINC000000000198,CC[N+]1(C)CC[C@H](OC(=O)[C@H](c2ccccc2)C2CCCC2)C1
ZINC000000000199,O[C@@](CCN1CCCCC1)(c1ccccc1)C1CCCC1
ZINC000000000200,CN(C)CC(=O)N1c2ccccc2Sc2ccccc21
ZINC000000000201,O[C@@](C1=NCCN1)(c1ccc(Cl)cc1)c1ccccn1
ZINC000000000202,CC1=Nc2ccccc2C[C@@H](c2ccccc2)N1C
ZINC000000000207,O[C@H](Cn1ccnc1)c1ccc(CCc2ccccc2)cc1
ZINC000000000208,CC(=O)[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@H](O)C[C@@]21C
ZINC000000000209,CC(C)NC[C@@H](O)c1ccc(O)cc1
ZINC000000000210,C1CCC(C2(C3CCCCC3)OC[C@H]([C@@H]3CCCCN3)O2)CC1
ZINC000000000211,CC(=O)Nc1ccc(OC[C@H](O)CNC(C)C)c(C(C)=O)c1
ZINC000000000212,CN1C(=O)CCS(=O)(=O)[C@H]1c1ccc(Cl)c(Cl)c1
ZINC000000000214,CCN(CC)CC(=O)N1c2ccccc2Sc2ccccc21
ZINC000000000215,CCN(CC)[C@@H](C)C(=O)c1ccccc1
ZINC000000000216,CCN(CC)[C@@H](C)C=C(c1cccs1)c1cccs1
ZINC000000000217,C[C@@H](C(=O)Nc1cc(-c2ccccc2)nn1-c1ccccc1)N(C)C
ZINC000000000219,CC[C@@H]1CN2CC[C@H]1C[C@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
ZINC000000000220,CC[C@@H]1CN2CC[C@H]1C[C@@H]2[C@H](O)c1ccnc2ccc(OC)cc12
ZINC000000000221,Cn1cnc2c1c(=O)n(C[C@H](O)CO)c(=O)n2C
ZINC000000000223,COc1ccc2c(=O)c(C)c(-c3ccccc3)oc2c1CN(C)C
ZINC000000000224,CN1CC[C@](C)(CN2c3ccccc3Sc3ccccc32)C1
ZINC000000000226,CC(=O)Nc1ccc(C(=O)O)cc1
ZINC000000000229,CC1=C2CC[C@H]3[C@@H]([C@H](O)C[C@]4(C)[C@@H]3CC[C@@]4(C)O)[C@]2(C)CCC1=O
ZINC000000000230,C[C@@H](C=C(c1cccs1)c1cccs1)N(C)C
ZINC000000000231,CNC[C@@H](O)c1cc(OC)c(O)c(OC)c1
ZINC000000000232,CCN[C@@H](C)[C@@H](O)c1ccc(O)c(O)c1
ZINC000000000233,O=C(OCCN1CCCCC1)[C@@H](c1ccccc1)N1CCCCC1
ZINC000000000234,Cc1nc2ccccc2c(=O)n1C[C@H](O)CO
ZINC000000000235,C[C@H]1Oc2ccc(Cl)cc2N(C[C@H](O)CO)C1=O
ZINC000000000238,OC[C@H]1CO[C@H](CI)O1
ZINC000000000240,O=C1[C@H](O)N=C(c2ccccc2F)c2cc(Cl)ccc2N1CCO
ZINC000000000241,CN(C)[C@@H](c1cccnc1)C1COCOC1
ZINC000000000242,CN(C)CCO[C@@](C)(c1ccccc1)c1ccccn1
ZINC000000000243,CC(C)NC[C@@H](O)CC(c1ccccc1)c1ccccc1
ZINC000000000244,COc1ccc2c(c1OC)[C@]13CCN(C)[C@H](C2)[C@@]1(O)CC[C@H](O)C3
ZINC000000000245,Cc1cccc(C)c1NC(=O)[C@@H]1CCCCN1CCO
ZINC000000000246,CN(C)CCO[C@](C)(c1ccccc1)c1ccc(Br)cc1
ZINC000000000248,CC(=O)[C@@H]1CC[C@@H]2[C@H]3C[C@@H](C)C4=CC(=O)C=C[C@]4(C)[C@@H]3[C@H](O)C[C@@]12C
ZINC000000000249,C[C@@H]1O[C@]2(CCCC[C@@H]2Oc2cccc(Cl)c2)NC1=O
ZINC000000000250,CCc1ccc(C(=O)[C@H](C)CN2CCCCC2)cc1
ZINC000000000251,CCN1CCC[C@@H]1CNC(=O)C(O)(c1ccccc1)c1ccccc1
ZINC000000000252,C[C@@]12CC[C@H]3c4ccc(O)cc4CC[C@@H]3[C@H]1C[C@H](O)[C@@H]2O
ZINC000000000253,O=C(C1CCCCC1)N1CC(=O)N2CCCc3ccccc3[C@@H]2C1
ZINC000000000254,CN1CC[C@@]2(C)C[C@H](Cc3ccc(O)cc32)C1
ZINC000000000255,CC(C)(C)NC[C@@H](O)COc1cc(Cl)ccc1C1=CC(=O)CC1
ZINC000000000257,COC(=O)CCc1ccc(OC[C@H](O)CNC(C)C)cc1
ZINC000000000259,C#C[C@]1(O)CC[C@@H]2N3CCc4cc(OC)ccc4[C@@H]3CC[C@]21C
ZINC000000000261,CCN(C)[C@@H](C)[C@@H](O)c1ccccc1
ZINC000000000263,C[C@H](Cc1ccc(O)cc1)NC[C@@H](O)c1cc(N)cc(CO)c1
ZINC000000000264,CCNC1=Nc2ccc(Cl)cc2[C@H](c2ccccc2)S1
ZINC000000000265,CCO[C@@H]1c2ccccc2C(=O)N(C)c2ccccc21
ZINC000000000266,CCN(CC)C(=O)c1ccc(O)c(OC)c1
ZINC000000000267,C#C[C@@](O)(/C=C/Cl)CC
ZINC000000000268,CCOC(=O)[C@]1(c2ccccc2)CCCN(C)CC1
ZINC000000000270,CCOC(=O)c1cncn1[C@H]1CCCc2ccccc21
ZINC000000000271,CCN1C(=O)N[C@H](c2ccccc2)C1=O
ZINC000000000272,CCN(C)[C@@H](C)C=C(c1cccs1)c1cccs1
ZINC000000000273,CC[C@@H](N)[C@@H](O)c1ccc(O)c(O)c1
ZINC000000000274,CC[C@H](C(=O)NC(N)=O)c1ccccc1
ZINC000000000276,CCCN(CC)[C@@H](CC)C(=O)Nc1c(C)cccc1C
ZINC000000000277,CC/N=C1\Nc2ccc(Cl)cc2[C@](C)(c2ccccc2)O1
ZINC000000000282,CCc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2
ZINC000000000283,C[C@@H]1C[C@H](OC(=O)[C@H](O)c2ccccc2)CC(C)(C)N1C
ZINC000000000284,CC[C@@H](C)[C@](C#N)(CCN1CCCCC1)c1ccccc1
ZINC000000000285,CC(C)NC[C@@H](O)COc1ccccc1C1CCCCC1
ZINC000000000287,O=C1[C@@H](N2CCCCC2)CCN1c1ccccc1
ZINC000000000288,NC(=O)c1ccccc1OCC(=O)OC[C@@H]1CCCO1
ZINC000000000289,CC[C@H](C(=O)O)C1(O)CCC(c2ccccc2)CC1
ZINC000000000290,N[C@H](Cc1ccc(Cl)cc1)C(=O)O
ZINC000000000291,O=C(O)[C@@H](Cl)c1ccc(C2CCCCC2)c(Cl)c1
ZINC000000000293,C[C@H](Cc1ccccc1)NCCn1cnc2c1c(=O)n(C)c(=O)n2C
ZINC000000000294,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1
ZINC000000000296,CC[C@H]1C(=O)NC(=O)[C@@]1(C)c1ccccc1
ZINC000000000297,CC(C)(Oc1ccc([C@H](O)c2ccc(Cl)cc2)cc1)C(=O)O
ZINC000000000298,C[C@H]1NC(=O)CO[C@@H]1c1ccccc1
ZINC000000000299,COc1ccc([C@@](C)(O)c2ccccc2)c(OC)c1
ZINC000000000300,C[C@H](Oc1ccc(Oc2ccc(Cl)cc2)cc1)C(=O)O
ZINC000000000301,C[C@H](C(=O)O)c1cccc(Oc2ccccc2)c1
ZINC000000000302,CCNC1=NC(=O)[C@@H](c2ccccc2)O1
ZINC000000000303,CC(C)(O)C[C@](C)(O)c1ccc(Cl)cc1
ZINC000000000304,CN1C[C@@H](CCN2CC=C(c3ccccc3)CC2)OC1=O
ZINC000000000305,NS(=O)(=O)c1cc2c(cc1Cl)N[C@@H](c1ccccc1)NC2=O
ZINC000000000306,O[C@H](CNc1ncccn1)c1ccccc1
ZINC000000000308,COc1ccc(/C(C)=N/OC(N)=O)cc1OC1CCCC1
ZINC000000000310,CN1CC[C@@](O)(c2ccc(F)cc2)[C@H](C(=O)c2ccc(F)cc2)C1
ZINC000000000311,CC(C)(C)NC[C@@H](O)c1ccccc1F
ZINC000000000312,CN(C)[C@H]1CCc2[nH]c3c(F)cc(F)cc3c2C1
ZINC000000000313,CNC[C@@H](OC)c1cccc(C(F)(F)F)c1
ZINC000000000314,CC[C@](O)(c1ccccc1)c1cccc(C(F)(F)F)c1
ZINC000000000315,C[C@H]1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23
ZINC000000000316,O=C1CO[C@H](c2ccc(C(F)(F)F)cc2)CN1
ZINC000000000318,NC1=NC[C@@H](c2ccc(C(F)(F)F)cc2)O1
ZINC000000000319,C[C@H](C(=O)O)c1ccc2oc(-c3ccc(F)cc3)nc2c1
ZINC000000000320,C[C@H]1c2ccccc2[C@H](CCCN(C)C)c2cc(C(F)(F)F)ccc21
ZINC000000000321,C[C@]12C[C@@H](O)[C@]3(F)[C@H](CCC4=CC(=O)CC[C@]43C)[C@@H]1CC[C@@]2(C)O
ZINC000000000322,C[C@H](C(=O)O)c1ccc(-c2cccc(F)c2)cc1
ZINC000000000323,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1
ZINC000000000324,CCOC(=O)c1cn([C@H](C)c2ccc(F)cc2)cn1
ZINC000000000325,C[C@@H](Cc1ccccc1)NC=O
ZINC000000000327,N[C@H](C(=O)O)c1ccc(C=O)c(O)c1
ZINC000000000331,C[C@H](C(=O)O)c1cccc2c(-c3ccccc3)coc12
ZINC000000000334,C[C@@H]1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)O1
ZINC000000000336,C[C@@H]1CCCC[C@]1(c1cccs1)N1CCCCC1
ZINC000000000338,C[C@@H](N)Cc1cccc(O)c1
ZINC000000000339,CC(=O)[C@]1(O)CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
ZINC000000000340,COc1cc2c(cc1OC)C(c1cccc(Cl)c1)=NN=C(C)C2
ZINC000000000343,CN1C(=O)[C@]23CC4=CC=C[C@@H](O)[C@@H]4N2C(=O)[C@@]1(CO)SS3
ZINC000000000344,C[C@@H](I)[C@H]1OC[C@H](CO)O1
ZINC000000000345,C=C(C)C(=O)OC[C@@H]1CO1
ZINC000000000346,C[N+]1(C)CC[C@H](OC(=O)[C@](O)(c2ccccc2)C2CCCC2)C1
ZINC000000000347,CN1[C@H]2CCC[C@@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2
ZINC000000000348,COc1ccccc1OC(=O)c1ccccc1OC(C)=O
ZINC000000000349,COc1ccccc1OC(=O)c1ccccc1
ZINC000000000350,COc1ccccc1OC(=O)Oc1ccccc1OC
ZINC000000000351,CCOc1ccccc1OC[C@H](O)CO
ZINC000000000352,COc1ccccc1OC(=O)Cc1ccccc1
ZINC000000000353,COc1ccccc1OC[C@H](O)CO
ZINC000000000356,CC(C)(C)CC(C)(C)NC(=N)N
ZINC000000000357,N=C(N)NC[C@H]1COc2ccccc2O1
ZINC000000000359,C[N+]1(C)CC[C@H](OC(=O)[C@](O)(c2ccccc2)c2cccs2)C1
ZINC000000000360,O=C(O)CC[C@]1(Cc2ccccc2)CCCCC1=O
ZINC000000000361,C[C@H](C(=O)O)c1ccc(-c2ccccc2)cc1
ZINC000000000363,C[N+]1(C)CCN(C[C@@](O)(c2ccccc2)C2CCCCC2)CC1
ZINC000000000364,C[N+]1(C)CC[C@H](OC(=O)[C@@](O)(c2ccccc2)C2CCCCC2)C1
ZINC000000000365,C[C@H](CNC1CCCCC1)OC(=O)c1ccccc1
ZINC000000000367,CN1[C@H]2CC[C@@H]1CC(OC(=O)[C@H](O)c1ccccc1)C2
ZINC000000000368,C[N+]1(C)[C@H]2CC[C@@H]1CC(OC(=O)[C@H](O)c1ccccc1)C2
ZINC000000000370,C[C@@H]1C[C@H](OC(=O)c2ccccc2O)CC(C)(C)C1
ZINC000000000371,CN1CCc2cc3c(cc2[C@H]1O)OCO3
ZINC000000000372,CN(C)CCC[C@@H]1c2ccccc2CSc2ccccc21
ZINC000000000373,C[C@@H](N)Cc1ccc(O)cc1
ZINC000000000374,C[C@@H](O)c1ccc(S(=O)(=O)/N=C(\O)NC2CCCCC2)cc1
ZINC000000000375,CC[C@](O)(COC(N)=O)c1ccccc1
ZINC000000000376,O=C(O)[C@@H](O)[C@@H](O)C(=O)Oc1cccnc1
ZINC000000000378,CC[C@](Br)(C(N)=O)C(C)C
ZINC000000000379,COc1ccccc1OC(=O)[C@H](C)c1cccc(CC(C)C)c1
ZINC000000000380,CC(C)Cc1ccc([C@H](C)C(=O)OCc2ccccn2)cc1
ZINC000000000381,CC(C)Cc1ccc([C@H](C)C(=O)NO)cc1
ZINC000000000382,CC(C)COC(=O)[C@@](O)(c1ccccc1)C1CCCCC1
ZINC000000000383,CC(C)NC[C@@H](O)COc1cccc2c1C=CCC2
ZINC000000000384,c1ccc([C@@H]2CN=C3NCCN32)cc1
ZINC000000000385,CCn1ccnc1C[C@H]1COc2ccccc2O1
ZINC000000000387,CCc1ccc(C(=O)[C@H](C)CN2CCCC2)cc1
ZINC000000000388,CC[C@@H](N)C1(O)Cc2ccccc2C1
ZINC000000000389,CC(C)NC[C@@H](O)COc1cccc2c1C=CC2
ZINC000000000390,CC(C)[C@](O)(C(=O)OCC1=CC[N+]2([O-])CC[C@H](O)[C@@H]12)[C@H](C)O
ZINC000000000391,C[C@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1
ZINC000000000392,COC(=O)[C@@H](CN)c1c[nH]c2ccc(OC)cc12
ZINC000000000393,CCCN1CCC[C@H](c2cccc(O)c2)C1
ZINC000000000394,CC(C)NC(=O)c1no[n+]([O-])c1C(=O)NC(C)C
ZINC000000000397,Cc1cc(=O)c2c(O)c3ccoc3c(OC[C@H](O)CNC(C)C)c2o1
ZINC000000000398,CCCC(=O)c1ccc(OC)c(C(=O)NC[C@H]2CCCN2CC)c1
ZINC000000000399,CC(C)[C@](C#N)(C[C@H](C)N(C)C)c1ccccc1
ZINC000000000400,O=C1C(c2ccccc2)=C(O)c2ccc(Br)cc21
ZINC000000000401,CC[C@H](NC(C)C)[C@@H](O)c1ccc(O)c(O)c1
ZINC000000000403,CC(C)[C@H]1Cc2ccc([C@H](C)C(=O)O)cc2C1
ZINC000000000404,C[C@@H](CN1c2ccccc2Sc2cccnc21)N(C)C
ZINC000000000406,Cc1cc(/C=C/c2ccccc2OC[C@H](O)CNC(C)(C)C)on1
ZINC000000000407,C[C@H](N[C@H](C)COc1ccccc1)[C@@H](O)c1ccc(O)cc1
ZINC000000000408,CN1[C@H]2CC[C@@H]1CC(NC(=O)n1c(=O)[nH]c3ccccc31)C2
